id,,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
11508,,Amazing Luxurious Apt-Palermo Soho,42762,Candela,Palermo,-34.58184,-58.42415,Entire home/apt,14117,3,35
14222,,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",87710233,María,Palermo,-34.58617,-58.41036,Entire home/apt,6471,5,106
15074,,ROOM WITH RIVER SIGHT,59338,Monica,Nuñez,-34.53892,-58.46599,Private room,6212,29,0
16695,,DUPLEX LOFT 2 - SAN TELMO,64880,Elbio Mariano,Monserrat,-34.61439,-58.37611,Entire home/apt,10354,2,46
20062,,PENTHOUSE /Terrace & pool /City views /2bedrooms,75891,Sergio,Palermo,-34.581848,-58.441605,Entire home/apt,23270,2,275
20429,,Hermoso  y acogedor departamento.,77065,Marcelo,Constitucion,-34.6226,-58.38704,Entire home/apt,7248,15,0
23798,,STUNNING-LIGHT-SPACIOUS LOFT STYLE APT- SAN TELMO,408551,Guille,Monserrat,-34.61266,-58.37479,Entire home/apt,14501,3,58
24713,,"BEAUTIFUL, EXCELLENT UBICATION/OBELISK  5 STARS!!!",100743,Griselda,San Nicolas,-34.60254,-58.37811,Entire home/apt,7637,1,373
24763,,Amazing LOFTpalermo: contemporary and cool,101049,Sebastian,Chacarita,-34.58494,-58.44419,Entire home/apt,13874,7,37
26258,,Broad Studio @ Palermo University area w/balcony,111013,Daniel,Almagro,-34.59997,-58.41238,Entire home/apt,4556,30,2
27631,,"Departamento en Vicente López y Callao, Recoleta",119446,Inés,Recoleta,-34.59272,-58.3894,Entire home/apt,7987,2,105
28244,,Loft in Palermo Hollywood.Pool 617,119613,Marcos,Palermo,-34.57709,-58.43665,Entire home/apt,11389,14,34
29990,,"Funky & Stylish Apartment, Palermo",129245,Savvas,Palermo,-34.58602,-58.42749,Entire home/apt,10788,3,155
31216,,EXCELLENT APARTMENT IN BELGRANO,134014,Marian,Belgrano,-34.55948,-58.44528,Entire home/apt,15177,7,7
31514,,BEAUTY DUPLEX LOFT #4 SAN TELMO,64880,Elbio Mariano,Monserrat,-34.61494,-58.37517,Entire home/apt,9347,2,35
31920,,Beautifull apartment in Belgrano!,137373,Nancy,Belgrano,-34.5644,-58.4606,Entire home/apt,12425,30,0
